"S..No.","Feature","Level","Frequency","Proportion....","First.Mode"
14,"Perceived mental health ","Poor",1702,1.67,""
14,"Perceived mental health ","Unknown",3475,3.42,""
14,"Perceived mental health ","Very good",36617,35.99,"Very good"
15,"Satisfaction with life in general ","Dissatisfied",2486,2.44,""
15,"Satisfaction with life in general ","Neither satisfied nor dissatisfied",5460,5.37,""
15,"Satisfaction with life in general ","Satisfied",50147,49.28,"Satisfied"
15,"Satisfaction with life in general ","Unknown",3932,3.86,""
15,"Satisfaction with life in general ","Very Dissatisfied",686,0.67,""
15,"Satisfaction with life in general ","Very Satisfied",39042,38.37,""
16,"Had a seasonal flu shot (excluding H1N1) - lifetime","No",31705,31.16,""
16,"Had a seasonal flu shot (excluding H1N1) - lifetime","Unknown",3639,3.58,""
16,"Had a seasonal flu shot (excluding H1N1) - lifetime","Yes",66409,65.26,"Yes"
17,"Seasonal flu shot - last time","1 year to less than 2 years ago",5060,4.97,""
17,"Seasonal flu shot - last time","2 years ago or more",16638,16.35,""
17,"Seasonal flu shot - last time","Less than 1 year ago",44534,43.77,"Less than 1 year ago"
17,"Seasonal flu shot - last time","Unknown",3816,3.75,""
17,"Seasonal flu shot - last time","Valid skip",31705,31.16,""
18,"Type of drinker","Did not drink in the last 12 months",24335,23.92,""
18,"Type of drinker","Occasional drinker",17839,17.53,""
18,"Type of drinker","Regular drinker",59167,58.15,"Regular drinker"
18,"Type of drinker","Unknown",412,0.4,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","2-3 times a month",4608,4.53,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","Less than once a month",18730,18.41,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","More than once a week",2639,2.59,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","Never",41835,41.11,"Never"
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","Once a month",5758,5.66,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","Once a week",3259,3.2,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","Unknown",589,0.58,""
19,"Drank 5+ / 4+ drinks one occasion - frequency - 12 months","Valid skip",24335,23.92,""
20,"Has sleep apnea","No",92701,91.1,"No"
20,"Has sleep apnea","Unknown",215,0.21,""
20,"Has sleep apnea","Yes",8837,8.68,""
21,"Has high blood cholesterol / lipids","No",81233,79.83,"No"
21,"Has high blood cholesterol / lipids","Unknown",1254,1.23,""
21,"Has high blood cholesterol / lipids","Yes",19266,18.93,""
22,"High blood cholesterol / lipids - took medication - 1 month","No",78276,76.93,"No"
22,"High blood cholesterol / lipids - took medication - 1 month","Unknown",421,0.41,""
22,"High blood cholesterol / lipids - took medication - 1 month","Yes",23056,22.66,""
23,"Has chronic fatigue syndrome","No",99525,97.81,"No"
23,"Has chronic fatigue syndrome","Unknown",229,0.23,""
23,"Has chronic fatigue syndrome","Yes",1999,1.96,""
24,"Has a mood disorder (depression, bipolar, mania, dysthymia)","No",91633,90.05,"No"
24,"Has a mood disorder (depression, bipolar, mania, dysthymia)","Unknown",183,0.18,""
24,"Has a mood disorder (depression, bipolar, mania, dysthymia)","Yes",9937,9.77,""
25,"Has an anxiety disorder (phobia, OCD, panic)","No",92096,90.51,"No"
25,"Has an anxiety disorder (phobia, OCD, panic)","Unknown",192,0.19,""
25,"Has an anxiety disorder (phobia, OCD, panic)","Yes",9465,9.3,""
26,"Has respiratory chronic condition (asthma or COPD)","No",88258,86.74,"No"
26,"Has respiratory chronic condition (asthma or COPD)","Unknown",5127,5.04,""
26,"Has respiratory chronic condition (asthma or COPD)","Yes",8368,8.22,""
27,"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)","No",63874,62.77,"No"
27,"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)","Unknown",4539,4.46,""
27,"Musculoskeletal condition (Arthritis, fibromyalgia, osteoporosis)","Yes",33340,32.77,""
28,"High blood pressure - took medication - 1 month","No",69017,67.83,"No"
28,"High blood pressure - took medication - 1 month","Unknown",232,0.23,""
28,"High blood pressure - took medication - 1 month","Yes",32504,31.94,""
29,"Has a high blood pressure","No",72091,70.85,"No"
29,"Has a high blood pressure","Unknown",343,0.34,""
29,"Has a high blood pressure","Yes",29319,28.81,""
30,"Has diabetes","No",89327,87.79,"No"
30,"Has diabetes","Unknown",2600,2.56,""
30,"Has diabetes","Yes",9826,9.66,""
31,"Cardiovascular condition (Heart disease or stroke)","No",87791,86.28,"No"
31,"Cardiovascular condition (Heart disease or stroke)","Unknown",3960,3.89,""
31,"Cardiovascular condition (Heart disease or stroke)","Yes",10002,9.83,""
