feature,coefficient,abs_coefficient,odds_ratio
seasonal_flu_shot_last_time_Less.than.1.year.ago,1.890354791492231e-37,1.890354791492231e-37,1
total_household_income_all_sources_X.80.000.or.more,-1.886999383272386e-37,1.886999383272386e-37,1
used_cannabis_12_months_Unknown,1.7622265523318072e-37,1.7622265523318072e-37,1
perceived_health_Very.good,-1.7425735333212323e-37,1.7425735333212323e-37,1
has_chronic_fatigue_syndrome_Yes,1.7046841823239153e-37,1.7046841823239153e-37,1
seasonal_flu_shot_last_time_X2.years.ago.or.more,-1.6348432613734057e-37,1.6348432613734057e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_Valid.skip,1.4933564043191345e-37,1.4933564043191345e-37,1
satisfaction_with_life_in_general_Neither.satisfied.nor.dissatisfied,1.455554680454445e-37,1.455554680454445e-37,1
drank_5_4_drinks_one_occasion_frequency_12_months_More.than.once.a.week,-1.4489964450451591e-37,1.4489964450451591e-37,1
has_high_blood_cholesterol_lipids_Unknown,1.4262814683590566e-37,1.4262814683590566e-37,1
pain_health_status_No.usual.pain.or.discomfort,-1.4195501354516884e-37,1.4195501354516884e-37,1
bmi_classification_for_adults_aged_18_and_over_adjusted_international_Unknown,1.4165446204281509e-37,1.4165446204281509e-37,1
sex_at_birth_Male,1.301992303392552e-37,1.301992303392552e-37,1
type_of_drinker_Regular.drinker,-1.2518573190509634e-37,1.2518573190509634e-37,1
smoking_status_Non.smoker..abstainer.or.experimental.,-1.1871788112511638e-37,1.1871788112511638e-37,1
had_a_seasonal_flu_shot_excluding_h1n1_lifetime_Yes,1.1445865402288925e-37,1.1445865402288925e-37,1
bmi_classification_for_adults_aged_18_and_over_adjusted_international_Underweight..Normal.weight,-1.1381449602028663e-37,1.1381449602028663e-37,1
total_household_income_all_sources_Unknown,-1.0880402872721216e-37,1.0880402872721216e-37,1
considered_suicide_last_12_months_Yes,-9.833644915402923e-38,9.833644915402923e-38,1
drank_5_4_drinks_one_occasion_frequency_12_months_Never,9.443233552286103e-38,9.443233552286103e-38,1
musculoskeletal_condition_arthritis_fibromyalgia_osteoporosis_Unknown,-9.158905464436041e-38,9.158905464436041e-38,1
perceived_health_Good,8.315878990865236e-38,8.315878990865236e-38,1
total_household_income_all_sources_X.40.000.to..59.999,8.252873882233156e-38,8.252873882233156e-38,1
satisfaction_with_life_in_general_Very.Satisfied,-7.721871946049407e-38,7.721871946049407e-38,1
usual_place_for_immediate_care_for_minor_problem_Yes,7.564146379762252e-38,7.564146379762252e-38,1
considered_suicide_lifetime_Yes,-7.272123445780122e-38,7.272123445780122e-38,1
has_an_anxiety_disorder_phobia_ocd_panic_Yes,-6.523403781177274e-38,6.523403781177274e-38,1
perceived_mental_health_Very.good,-5.890347583733462e-38,5.890347583733462e-38,1
has_diabetes_Unknown,-5.871667334398634e-38,5.871667334398634e-38,1
satisfaction_with_life_in_general_Satisfied,-5.464022983725033e-38,5.464022983725033e-38,1
smoking_status_Unknown,-4.713552701169188e-38,4.713552701169188e-38,1
smoking_status_Former.occasional.smoker..non.smoker.now.,4.271824460721953e-38,4.271824460721953e-38,1
total_household_income_all_sources_No.income.or.less.than..20.000,3.7506900700158786e-38,3.7506900700158786e-38,1
marital_status_Widowed.Divorced.Separated.Single..never.married,2.0236516589170548e-38,2.0236516589170548e-38,1
total_household_income_all_sources_X.60.000.to..79.999,1.913166198880351e-38,1.913166198880351e-38,1
perceived_mental_health_Poor,1.7091355119526094e-38,1.7091355119526094e-38,1
perceived_mental_health_Good,1.3947592405284042e-38,1.3947592405284042e-38,1
has_respiratory_chronic_condition_asthma_or_copd_Unknown,-9.821971601745236e-39,9.821971601745236e-39,1
perceived_mental_health_Fair,-7.835384156683916e-39,7.835384156683916e-39,1
type_of_drinker_Occasional.drinker,2.0034085990395504e-39,2.0034085990395504e-39,1
has_a_mood_disorder_depression_bipolar_mania_dysthymia_Yes,7.594397593272471e-40,7.594397593272471e-40,1
