feature,coefficient,abs_coefficient,odds_ratio
satisfaction_with_life_in_general_Neither.satisfied.nor.dissatisfied,1.4016291776098324e-37,1.4016291776098324e-37,1
has_chronic_fatigue_syndrome_Yes,1.3844500472799233e-37,1.3844500472799233e-37,1
pain_health_status_No.usual.pain.or.discomfort,-1.378807181465629e-37,1.378807181465629e-37,1
has_high_blood_cholesterol_lipids_Unknown,1.3778465793820209e-37,1.3778465793820209e-37,1
has_respiratory_chronic_condition_asthma_or_copd_Yes,1.247055781455574e-37,1.247055781455574e-37,1
age_group_X50.to.64.years,-1.1769680546704097e-37,1.1769680546704097e-37,1
perceived_health_Good,1.135250176207217e-37,1.135250176207217e-37,1
used_cannabis_12_months_Unknown,1.058096404164989e-37,1.058096404164989e-37,1
smoking_status_Non.smoker..abstainer.or.experimental.,-8.977780814417345e-38,8.977780814417345e-38,1
usual_place_for_immediate_care_for_minor_problem_Yes,8.466519487798358e-38,8.466519487798358e-38,1
sex_at_birth_Male,8.410968450870889e-38,8.410968450870889e-38,1
satisfaction_with_life_in_general_Very.Satisfied,-8.093396673386638e-38,8.093396673386638e-38,1
considered_suicide_last_12_months_Yes,-7.554976556080535e-38,7.554976556080535e-38,1
total_household_income_all_sources_X.40.000.to..59.999,7.482589029063591e-38,7.482589029063591e-38,1
bmi_classification_for_adults_aged_18_and_over_adjusted_international_Unknown,6.833406849447047e-38,6.833406849447047e-38,1
smoking_status_Unknown,-5.770158981979371e-38,5.770158981979371e-38,1
type_of_drinker_Occasional.drinker,5.491130735612615e-38,5.491130735612615e-38,1
has_respiratory_chronic_condition_asthma_or_copd_Unknown,5.212345019760442e-38,5.212345019760442e-38,1
perceived_mental_health_Very.good,-4.853664714573317e-38,4.853664714573317e-38,1
considered_suicide_lifetime_Yes,-4.359606631520796e-38,4.359606631520796e-38,1
drank_5_4_drinks_one_occasion_frequency_12_months_Never,4.2844665014122997e-38,4.2844665014122997e-38,1
has_an_anxiety_disorder_phobia_ocd_panic_Yes,-4.046111208253242e-38,4.046111208253242e-38,1
perceived_mental_health_Good,2.2466043620496954e-38,2.2466043620496954e-38,1
has_a_mood_disorder_depression_bipolar_mania_dysthymia_Yes,2.1396220961126273e-38,2.1396220961126273e-38,1
musculoskeletal_condition_arthritis_fibromyalgia_osteoporosis_Unknown,-1.9734040487005412e-38,1.9734040487005412e-38,1
total_household_income_all_sources_No.income.or.less.than..20.000,1.7903280393962914e-38,1.7903280393962914e-38,1
perceived_mental_health_Fair,1.6935396322943769e-38,1.6935396322943769e-38,1
satisfaction_with_life_in_general_Satisfied,-1.5834710650449416e-38,1.5834710650449416e-38,1
marital_status_Widowed.Divorced.Separated.Single..never.married,-8.009753974815536e-39,8.009753974815536e-39,1
total_household_income_all_sources_X.60.000.to..79.999,4.627420484506688e-39,4.627420484506688e-39,1
smoking_status_Former.occasional.smoker..non.smoker.now.,3.063926518912695e-39,3.063926518912695e-39,1
perceived_mental_health_Poor,-4.748162291456421e-51,4.748162291456421e-51,1
